Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea
2,t,771000.0,13.8,2.0,1.0,1.0,0.0,99.0,1992.0,Bayside
3,t,700000.0,7.9,3.0,2.0,1.0,189.0,110.0,1990.0,Banyule
3,u,975000.0,12.1,3.0,2.0,1.0,277.0,109.0,1975.0,Glen Eira
3,h,1290000.0,8.0,3.0,1.0,1.0,618.0,132.0,1960.0,Moonee Valley
2,u,500000.0,4.2,2.0,1.0,1.0,0.0,86.0,2000.0,Melbourne
3,t,797500.0,5.9,3.0,2.0,2.0,262.0,155.0,2010.0,Moreland
3,h,1355000.0,13.9,3.0,1.0,1.0,814.0,120.0,1965.0,Manningham
2,t,707500.0,5.6,2.0,1.0,1.0,124.0,86.0,1992.0,Boroondara
2,u,444000.0,7.5,2.0,1.0,1.0,0.0,68.0,1970.0,Boroondara
3,h,878000.0,8.2,3.0,1.0,1.0,397.0,127.0,1960.0,Maribyrnong
2,t,490000.0,11.2,2.0,1.0,1.0,91.0,84.0,2014.0,Darebin
3,t,745000.0,11.7,3.0,1.0,2.0,228.0,126.0,1998.0,Whitehorse
3,t,1388000.0,3.5,3.0,2.0,2.0,104.0,146.0,2015.0,Port Phillip
4,t,1105000.0,14.6,3.0,2.0,2.0,220.0,187.0,2015.0,Kingston
1,u,367000.0,3.3,1.0,1.0,0.0,0.0,42.0,1950.0,Stonnington
4,h,2620000.0,13.0,4.0,4.0,2.0,579.0,361.0,2012.0,Glen Eira
4,h,950000.0,10.5,4.0,3.0,3.0,761.0,281.0,1970.0,Moonee Valley
2,u,660000.0,1.2,2.0,1.0,1.0,0.0,77.0,2000.0,Melbourne
4,h,3100000.0,7.5,3.0,2.0,2.0,640.0,232.0,1907.0,Boroondara
1,u,390000.0,2.6,1.0,1.0,1.0,0.0,40.0,2011.0,Yarra
2,h,1030000.0,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra
3,u,2460000.0,3.8,3.0,2.0,2.0,5042.0,102.0,1995.0,Port Phillip
3,h,827000.0,11.2,3.0,1.0,2.0,676.0,113.0,1960.0,Moreland
2,h,472500.0,14.5,2.0,1.0,2.0,729.0,88.0,1960.0,Hume
5,h,1075000.0,5.2,5.0,1.0,1.0,441.0,202.0,1940.0,Moreland
7,h,1642000.0,10.4,7.0,4.0,2.0,765.0,146.0,1950.0,Whitehorse
2,u,485000.0,8.8,2.0,1.0,1.0,117.0,73.0,1965.0,Darebin
4,t,1170000.0,21.5,4.0,2.0,2.0,312.0,179.0,2004.0,Kingston
2,t,805000.0,5.8,2.0,1.0,1.0,140.0,2.0,2008.0,Darebin
2,t,785000.0,7.9,2.0,2.0,1.0,124.0,135.0,2010.0,Banyule
3,h,1455000.0,4.2,3.0,1.0,0.0,275.0,120.0,1900.0,Melbourne
2,u,905000.0,10.7,2.0,1.0,2.0,189.0,93.0,1980.0,Bayside
3,h,565000.0,14.0,3.0,1.0,2.0,614.0,110.0,1975.0,Brimbank
3,t,1627000.0,21.5,3.0,2.0,2.0,304.0,233.0,2007.0,Kingston
3,t,865000.0,5.5,3.0,1.0,2.0,184.0,108.0,2006.0,Darebin
3,h,1370000.0,7.8,3.0,1.0,1.0,233.0,180.0,1890.0,Moreland
2,u,437500.0,11.8,2.0,1.0,1.0,0.0,74.0,1970.0,Glen Eira
2,u,491000.0,5.2,2.0,1.0,1.0,1080.0,66.0,1960.0,Moreland
2,u,692000.0,10.7,2.0,1.0,1.0,74.0,66.0,1960.0,Bayside
4,h,1350000.0,5.2,4.0,1.0,1.0,370.0,151.0,1940.0,Moreland
4,h,1462500.0,13.9,4.0,3.0,2.0,654.0,160.0,1969.0,Manningham
2,u,425000.0,4.2,2.0,1.0,1.0,0.0,59.0,2006.0,Melbourne
3,h,1037000.0,4.2,3.0,1.0,1.0,188.0,106.0,1910.0,Melbourne
2,u,566000.0,8.7,2.0,2.0,1.0,3014.0,80.0,2012.0,Maribyrnong
3,h,2825000.0,9.2,4.0,2.0,4.0,885.0,217.0,1910.0,Stonnington
4,t,2221000.0,15.2,4.0,2.0,2.0,381.0,235.0,2000.0,Bayside
2,u,900000.0,7.8,2.0,1.0,1.0,150.0,88.0,1970.0,Boroondara
4,t,1680000.0,7.9,4.0,2.0,1.0,254.0,172.0,1995.0,Boroondara
3,t,690000.0,5.6,3.0,1.0,2.0,111.0,3.0,1872.0,Boroondara
2,u,650000.0,9.7,2.0,1.0,1.0,0.0,150.0,1960.0,Boroondara
2,t,880000.0,1.6,2.0,2.0,2.0,0.0,105.0,2000.0,Yarra
3,h,1101000.0,13.8,3.0,2.0,2.0,643.0,135.0,1965.0,Manningham
2,u,465000.0,11.4,2.0,1.0,1.0,0.0,56.0,1970.0,Glen Eira
3,t,825000.0,13.0,3.0,2.0,2.0,147.0,149.0,2007.0,Glen Eira
2,u,799000.0,1.8,2.0,1.0,1.0,0.0,73.0,1900.0,Melbourne
1,u,305000.0,6.4,1.0,1.0,1.0,59.0,70.0,1965.0,Maribyrnong
3,u,835000.0,7.8,3.0,1.0,1.0,112.0,85.0,1960.0,Boroondara
2,u,396000.0,9.4,2.0,1.0,1.0,0.0,56.0,1975.0,Moonee Valley
1,u,370000.0,5.2,1.0,1.0,1.0,540.0,45.0,1970.0,Moreland
4,h,1845000.0,11.8,4.0,3.0,1.0,718.0,189.0,1939.0,Glen Eira
4,h,2590000.0,5.6,4.0,2.0,2.0,660.0,215.0,1928.0,Boroondara
3,h,1402500.0,3.0,3.0,1.0,1.0,270.0,101.0,1960.0,Yarra
2,t,450000.0,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley
7,h,1205000.0,5.9,7.0,3.0,1.0,447.0,287.0,1982.0,Moreland
3,u,813000.0,15.4,3.0,2.0,2.0,266.0,134.0,2001.0,Whitehorse
2,t,1100000.0,2.1,2.0,1.0,1.0,327.0,75.0,2004.0,Port Phillip
2,u,560000.0,4.5,2.0,1.0,1.0,0.0,71.0,2000.0,Stonnington
3,t,1160000.0,12.1,3.0,2.0,2.0,302.0,172.0,2000.0,Glen Eira
2,u,525500.0,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin
2,t,1055000.0,1.9,2.0,1.0,1.0,0.0,154.0,2009.0,Melbourne
3,t,810000.0,7.8,3.0,2.0,1.0,213.0,131.0,2010.0,Moreland
2,u,802500.0,6.2,2.0,1.0,2.0,966.0,87.0,1970.0,Boroondara
2,u,452000.0,2.8,2.0,1.0,0.0,0.0,60.0,2006.0,Melbourne
3,t,1557000.0,9.7,3.0,2.0,2.0,292.0,181.0,2010.0,Boroondara
1,u,320000.0,5.9,1.0,1.0,1.0,0.0,43.0,1970.0,Moreland
2,u,592000.0,5.9,2.0,1.0,1.0,0.0,72.9,1977.0,Stonnington
3,h,785000.0,7.9,3.0,2.0,0.0,399.0,110.0,1950.0,Banyule
3,t,521000.0,13.5,3.0,3.0,2.0,134.0,124.45,2008.0,Brimbank
2,u,526000.0,7.7,2.0,1.0,0.0,0.0,47.0,1930.0,Port Phillip
2,u,602000.0,6.1,2.0,1.0,0.0,0.0,66.0,1930.0,Port Phillip
4,h,1500000.0,12.2,4.0,2.0,1.0,593.0,255.0,1930.0,Monash
3,t,1255000.0,2.4,3.0,2.0,1.0,124.0,123.0,2008.0,Yarra
5,h,3365000.0,9.2,5.0,2.0,2.0,1339.0,270.0,1925.0,Stonnington
3,t,455000.0,12.4,3.0,2.0,1.0,738.0,138.0,2010.0,Moreland
3,t,664000.0,24.8,3.0,2.0,1.0,219.0,138.0,2010.0,Knox
3,t,714000.0,6.4,3.0,2.0,2.0,164.0,3.0,2008.0,Maribyrnong
3,t,1000000.0,21.5,3.0,2.0,2.0,298.0,124.0,1995.0,Kingston
3,h,2345000.0,8.5,3.0,2.0,1.0,419.0,204.0,1908.0,Glen Eira
3,h,775000.0,9.9,3.0,1.0,1.0,406.0,103.0,1960.0,Moreland
5,t,1050000.0,11.7,5.0,2.0,2.0,276.0,159.0,2011.0,Monash
3,t,905000.0,13.6,3.0,1.0,2.0,418.0,132.0,1955.0,Monash
3,t,1225000.0,13.9,3.0,2.0,2.0,372.0,180.0,2008.0,Glen Eira
4,h,715000.0,9.4,4.0,2.0,2.0,521.0,196.0,1990.0,Banyule
3,t,1010000.0,4.5,3.0,2.0,1.0,0.0,133.0,2014.0,Moreland
3,u,1080000.0,17.3,3.0,2.0,2.0,328.0,144.0,1980.0,Bayside
3,t,699000.0,6.4,3.0,1.0,1.0,125.0,113.0,2000.0,Maribyrnong
1,u,370000.0,2.6,1.0,1.0,1.0,502.0,38.0,1950.0,Yarra
2,u,775000.0,10.7,2.0,1.0,1.0,112.0,90.0,1960.0,Bayside
2,u,880000.0,6.8,2.0,1.0,2.0,169.0,78.54,2000.0,Hobsons Bay
3,h,1485000.0,13.9,3.0,2.0,2.0,731.0,140.0,1960.0,Manningham
3,t,895000.0,6.4,3.0,2.0,2.0,262.0,153.0,2004.0,Maribyrnong
2,u,895000.0,13.7,2.0,1.0,1.0,228.0,87.0,1975.0,Bayside
2,t,350000.0,11.2,2.0,1.0,1.0,0.0,72.0,2016.0,Darebin
3,h,1650000.0,7.8,3.0,2.0,2.0,305.0,189.0,1998.0,Boroondara
3,u,840000.0,4.6,3.0,1.0,1.0,1678.0,94.0,1940.0,Stonnington
3,t,730000.0,8.7,3.0,1.0,2.0,250.0,132.0,2000.0,Maribyrnong
4,t,1738000.0,7.5,4.0,3.0,2.0,324.0,241.0,2002.0,Boroondara
4,h,762000.0,10.5,4.0,2.0,2.0,589.0,150.0,1961.0,Moonee Valley
3,h,728500.0,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay
2,t,825000.0,5.4,2.0,1.0,3.0,193.0,107.0,1995.0,Boroondara
3,t,706750.0,10.5,3.0,2.0,2.0,250.0,125.0,2012.0,Banyule
2,u,762000.0,7.3,2.0,1.0,1.0,730.0,93.0,1875.0,Stonnington
3,t,856000.0,10.4,3.0,2.0,1.0,300.0,212.0,2011.0,Moonee Valley
3,h,615000.0,12.4,3.0,1.0,2.0,650.0,112.0,1950.0,Moreland
5,h,1490000.0,11.8,5.0,3.0,2.0,796.0,304.0,1975.0,Manningham
3,t,900000.0,11.0,3.0,2.0,2.0,153.0,110.0,1990.0,Boroondara
5,h,1018000.0,13.1,5.0,2.0,2.0,737.0,194.0,1990.0,Moreland
3,t,465000.0,14.0,3.0,2.0,3.0,248.0,123.21,2010.0,Hume
1,u,451000.0,6.1,1.0,1.0,1.0,0.0,41.0,2009.0,Port Phillip
3,h,870000.0,13.9,3.0,2.0,1.0,326.0,133.0,1950.0,Glen Eira
2,u,698000.0,4.6,2.0,1.0,1.0,0.0,85.0,1900.0,Stonnington
4,t,912000.0,12.3,4.0,2.0,2.0,344.0,146.0,1997.0,Monash
3,t,1200000.0,16.0,3.0,1.0,2.0,269.0,125.0,2000.0,Bayside
4,t,926000.0,17.2,4.0,3.0,2.0,374.0,170.0,2000.0,Whitehorse
2,t,599900.0,11.8,2.0,1.0,2.0,135.0,76.0,1970.0,Manningham
3,u,633500.0,14.0,3.0,2.0,2.0,279.0,95.0,1930.0,Monash
3,t,714000.0,8.8,3.0,2.0,2.0,185.0,115.0,2005.0,Darebin
3,t,700000.0,6.4,3.0,2.0,2.0,125.0,131.0,2013.0,Maribyrnong
3,t,930000.0,3.4,3.0,2.0,1.0,124.0,116.0,2000.0,Yarra
2,t,570000.0,7.8,2.0,1.0,1.0,0.0,86.0,1900.0,Moreland
1,u,256500.0,12.1,1.0,1.0,1.0,0.0,37.0,1966.0,Glen Eira
2,u,310000.0,14.0,2.0,1.0,1.0,171.0,90.0,2008.0,Hume
4,h,800000.0,9.9,4.0,1.0,1.0,593.0,131.0,1970.0,Moreland
4,t,1520000.0,10.2,4.0,3.0,2.0,267.0,190.0,2012.0,Boroondara
2,h,1636000.0,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra
3,h,1135000.0,5.9,3.0,1.0,1.0,296.0,104.0,1910.0,Moonee Valley
3,t,687000.0,7.8,3.0,1.0,1.0,116.0,140.0,1995.0,Moreland
3,t,460000.0,14.0,3.0,1.0,1.0,160.0,129.0,2000.0,Brimbank
3,t,855000.0,4.3,3.0,1.0,2.0,159.0,129.0,2011.0,Moonee Valley
3,u,549000.0,14.9,3.0,1.0,1.0,0.0,89.0,1980.0,Banyule
3,t,800000.0,5.6,3.0,2.0,2.0,848.0,97.0,1970.0,Boroondara
4,h,1361500.0,6.9,4.0,1.0,2.0,453.0,145.0,1920.0,Moonee Valley
3,t,790000.0,9.9,3.0,3.0,1.0,291.0,175.0,2009.0,Moreland
3,h,784000.0,7.8,2.0,1.0,1.0,286.0,110.0,1890.0,Moreland
4,h,2350000.0,7.5,4.0,2.0,2.0,556.0,220.0,1900.0,Boroondara
2,u,656000.0,4.5,2.0,1.0,1.0,0.0,79.0,1960.0,Moreland
2,t,801000.0,5.2,2.0,2.0,1.0,156.0,87.0,2007.0,Moreland
2,u,529000.0,31.2,2.0,1.0,1.0,199.0,84.0,1970.0,Kingston
3,t,747000.0,8.4,3.0,2.0,2.0,753.0,170.0,2005.0,Hobsons Bay
4,h,635000.0,14.5,4.0,2.0,2.0,531.0,138.0,1975.0,Brimbank
4,t,1247000.0,13.0,4.0,2.0,3.0,354.0,255.0,2008.0,Glen Eira
2,t,1540000.0,4.5,2.0,2.0,1.0,113.0,104.0,1945.0,Stonnington
3,t,1120000.0,1.9,3.0,3.0,1.0,801.0,122.0,2008.0,Melbourne
4,t,1340000.0,13.0,4.0,4.0,2.0,370.0,255.79,2006.0,Monash
2,u,617500.0,11.8,2.0,1.0,1.0,94.0,91.0,1970.0,Glen Eira
3,t,1253000.0,9.2,3.0,2.0,2.0,0.0,131.0,1995.0,Stonnington
2,t,565000.0,10.5,2.0,2.0,1.0,201.0,107.0,2007.0,Banyule
3,u,496000.0,8.8,3.0,1.0,1.0,266.0,98.0,1990.0,Darebin
3,h,2075000.0,2.1,3.0,2.0,0.0,141.0,163.0,1890.0,Port Phillip
2,u,580000.0,8.5,2.0,1.0,1.0,103.0,111.0,2010.0,Moreland
3,t,1395000.0,7.7,3.0,2.0,1.0,400.0,126.0,1996.0,Port Phillip
2,h,825000.0,13.9,2.0,2.0,1.0,176.0,125.0,2008.0,Glen Eira
3,h,708000.0,9.9,3.0,1.0,2.0,321.0,94.0,1950.0,Moreland
2,u,445000.0,5.8,2.0,1.0,1.0,0.0,56.0,1970.0,Darebin
3,h,1190000.0,8.8,3.0,2.0,2.0,572.0,118.0,1935.0,Darebin
2,t,680000.0,8.8,2.0,1.0,1.0,129.0,106.0,2013.0,Banyule
3,h,3705000.0,3.8,3.0,2.0,2.0,214.0,241.0,2014.0,Port Phillip
3,t,805000.0,13.9,3.0,2.0,1.0,268.0,117.0,2000.0,Glen Eira
3,u,565000.0,6.9,2.0,2.0,1.0,0.0,115.0,2001.0,Moonee Valley
3,h,455000.0,14.7,3.0,1.0,1.0,610.0,125.0,1980.0,Wyndham
4,h,770000.0,11.2,4.0,3.0,3.0,697.0,213.0,1970.0,Darebin
4,t,1750000.0,11.4,4.0,3.0,2.0,429.0,262.0,2013.0,Glen Eira
3,h,1090000.0,12.1,3.0,2.0,2.0,553.0,138.0,1960.0,Glen Eira
2,h,603000.0,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley
2,u,651000.0,13.9,2.0,1.0,1.0,265.0,150.0,1960.0,Glen Eira
3,t,970000.0,13.9,3.0,2.0,2.0,267.0,156.0,2000.0,Glen Eira
2,u,600000.0,1.2,2.0,2.0,1.0,0.0,99.0,1995.0,Melbourne
3,h,785000.0,10.5,3.0,1.0,0.0,592.0,130.0,1950.0,Banyule
2,h,1190000.0,3.0,2.0,2.0,1.0,147.0,175.0,2000.0,Yarra
2,t,754000.0,5.2,2.0,2.0,1.0,177.0,105.0,2000.0,Moreland
3,t,1200000.0,7.2,3.0,1.0,2.0,1405.0,117.0,1965.0,Glen Eira
2,u,546500.0,10.6,2.0,1.0,1.0,132.0,69.0,1972.0,Banyule
3,h,1171000.0,8.4,3.0,1.0,2.0,483.0,186.0,1930.0,Darebin
2,u,720000.0,2.3,2.0,2.0,1.0,0.0,98.0,1998.0,Melbourne
3,h,1555000.0,2.6,3.0,2.0,1.0,189.0,164.0,1900.0,Yarra
2,u,340000.0,13.0,2.0,1.0,1.0,0.0,74.0,1970.0,Moreland
4,t,860000.0,23.2,4.0,3.0,2.0,304.0,155.0,1970.0,Knox
3,h,1070000.0,6.9,3.0,1.0,2.0,231.0,130.0,1995.0,Moonee Valley
2,u,666000.0,2.7,2.0,1.0,1.0,0.0,73.0,2005.0,Stonnington
3,u,871000.0,14.3,3.0,2.0,2.0,195.0,142.0,2010.0,Manningham
2,u,620000.0,1.9,2.0,1.0,1.0,0.0,83.0,2002.0,Melbourne
3,t,890000.0,7.9,3.0,2.0,2.0,249.0,140.0,2005.0,Banyule
2,u,380000.0,11.2,2.0,1.0,1.0,149.0,70.0,1980.0,Darebin
4,h,4750000.0,8.4,4.0,3.0,2.0,967.0,470.0,1996.0,Boroondara
1,u,292000.0,4.6,1.0,1.0,0.0,0.0,56.0,1966.0,Boroondara
2,u,595000.0,1.2,2.0,1.0,1.0,0.0,75.0,1998.0,Melbourne
2,t,672000.0,12.0,2.0,1.0,1.0,243.0,120.0,2012.0,Darebin
2,u,474000.0,6.6,2.0,1.0,1.0,0.0,59.0,1970.0,Port Phillip
3,h,2050000.0,3.2,3.0,2.0,0.0,84.0,148.0,1970.0,Yarra
2,t,841000.0,2.3,2.0,1.0,1.0,215.0,0.0,2000.0,Melbourne
2,u,741000.0,8.5,3.0,1.0,1.0,0.0,1561.0,1966.0,Glen Eira
3,t,640000.0,4.3,3.0,2.0,2.0,91.0,132.0,2000.0,Maribyrnong
2,u,700000.0,12.2,2.0,1.0,2.0,192.0,88.0,2007.0,Monash
3,u,495000.0,10.8,3.0,2.0,1.0,327.0,124.0,2006.0,Maribyrnong
2,h,705000.0,5.2,2.0,1.0,1.0,161.0,68.0,1910.0,Moreland
3,u,726000.0,9.1,3.0,1.0,1.0,229.0,111.0,1996.0,Moonee Valley
2,u,435000.0,11.4,2.0,1.0,1.0,0.0,60.0,1980.0,Glen Eira
3,t,930000.0,11.7,3.0,2.0,1.0,0.0,127.0,2011.0,Monash
3,u,700000.0,9.2,3.0,1.0,1.0,350.0,120.0,1950.0,Boroondara
2,h,953000.0,4.4,2.0,1.0,0.0,274.0,103.0,1930.0,Moonee Valley
3,t,830000.0,11.2,3.0,3.0,2.0,303.0,236.0,2013.0,Moonee Valley
3,t,1625000.0,7.8,3.0,2.0,2.0,283.0,160.0,1990.0,Boroondara
3,t,820000.0,16.2,3.0,2.0,2.0,260.0,157.0,2010.0,Banyule
2,h,1550000.0,13.0,2.0,1.0,1.0,732.0,97.0,1950.0,Monash
1,u,380000.0,6.1,1.0,1.0,1.0,2879.0,49.0,1967.0,Port Phillip
4,h,1433500.0,13.9,4.0,1.0,1.0,725.0,186.0,1950.0,Glen Eira
4,t,1185000.0,13.9,4.0,2.0,2.0,305.0,207.0,2012.0,Glen Eira
2,u,716000.0,6.5,2.0,1.0,1.0,0.0,87.0,1995.0,Darebin
3,h,852000.0,4.2,3.0,1.0,1.0,166.0,138.0,2000.0,Melbourne
3,t,1472000.0,9.7,3.0,2.0,2.0,306.0,170.0,1995.0,Boroondara
2,u,525500.0,6.5,2.0,1.0,1.0,724.0,72.0,1975.0,Darebin
4,t,600000.0,14.5,4.0,2.0,1.0,231.0,146.0,2013.0,Brimbank
3,h,721000.0,15.0,3.0,1.0,1.0,687.0,122.0,1978.0,Banyule
3,u,622000.0,14.7,3.0,1.0,1.0,137.0,71.0,2012.0,Knox
5,h,5510000.0,5.3,5.0,2.0,5.0,820.0,300.0,1971.0,Boroondara
3,h,1600000.0,11.4,4.0,2.0,2.0,751.0,40.0,1923.0,Glen Eira
1,u,452000.0,9.2,1.0,1.0,1.0,63.0,52.0,1980.0,Stonnington
2,u,626000.0,4.6,2.0,1.0,2.0,0.0,78.0,2000.0,Stonnington
2,u,606000.0,8.0,2.0,1.0,2.0,0.0,93.0,1972.0,Moonee Valley
3,t,702000.0,11.7,3.0,2.0,1.0,170.0,106.0,2001.0,Monash
2,t,745000.0,17.9,2.0,1.0,2.0,359.0,98.5,1991.0,Kingston
3,t,702000.0,6.4,3.0,2.0,2.0,189.0,131.0,2000.0,Maribyrnong
3,t,655000.0,16.7,3.0,2.0,2.0,0.0,133.0,2002.0,Monash
3,t,752000.0,5.6,3.0,2.0,2.0,0.0,102.0,1980.0,Boroondara
2,u,1340000.0,2.7,2.0,2.0,2.0,0.0,133.0,1995.0,Stonnington
3,t,1080000.0,3.5,3.0,2.0,1.0,77.0,133.0,2016.0,Yarra
4,h,1472500.0,13.9,4.0,2.0,2.0,592.0,219.0,2013.0,Glen Eira
2,u,655000.0,14.5,2.0,1.0,1.0,298.0,98.0,1975.0,Banyule
3,t,560000.0,9.9,3.0,2.0,1.0,141.0,94.0,2009.0,Moreland
2,u,587000.0,7.9,2.0,1.0,1.0,721.0,78.0,1960.0,Banyule
2,u,632500.0,11.4,2.0,1.0,1.0,99.0,98.0,1965.0,Glen Eira
3,h,588000.0,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay
2,u,575000.0,2.4,2.0,1.0,1.0,407.0,66.0,1960.0,Yarra
3,u,880000.0,5.2,3.0,2.0,1.0,122.0,152.0,2000.0,Moreland
2,t,1055000.0,4.6,2.0,2.0,1.0,191.0,151.0,1975.0,Boroondara
3,u,1150000.0,5.3,3.0,2.0,1.0,5259.0,119.0,2000.0,Boroondara
2,h,1080000.0,3.8,2.0,1.0,0.0,105.0,70.0,1910.0,Port Phillip
2,u,505000.0,7.5,2.0,1.0,1.0,0.0,78.0,1965.0,Boroondara
2,u,760000.0,3.5,2.0,2.0,1.0,0.0,77.0,2013.0,Port Phillip
2,u,639000.0,27.0,2.0,1.0,2.0,278.0,104.0,1980.0,Kingston
2,t,1014000.0,10.7,2.0,1.0,1.0,267.0,131.0,1990.0,Bayside
3,h,1000000.0,14.6,3.0,2.0,2.0,573.0,150.0,1970.0,Kingston
2,h,1135000.0,2.0,2.0,1.0,0.0,144.0,80.0,1880.0,Yarra
1,u,331000.0,7.0,1.0,1.0,1.0,0.0,54.0,1970.0,Maribyrnong
2,u,662500.0,2.5,2.0,1.0,1.0,0.0,75.0,2015.0,Yarra
4,h,1900000.0,11.4,4.0,2.0,2.0,700.0,210.0,1920.0,Glen Eira
4,h,478000.0,27.2,4.0,2.0,2.0,400.0,151.54,2008.0,Wyndham
2,u,478000.0,5.6,1.0,1.0,1.0,0.0,51.0,1970.0,Boroondara
3,h,1291000.0,13.4,3.0,2.0,2.0,548.0,127.0,1970.0,Whitehorse
3,h,1275000.0,13.0,3.0,1.0,4.0,758.0,138.0,1960.0,Glen Eira
3,u,1008000.0,11.4,3.0,2.0,1.0,300.0,130.0,1990.0,Glen Eira
3,h,1362000.0,13.9,3.0,1.0,2.0,798.0,132.0,1960.0,Manningham
3,h,657000.0,10.5,3.0,1.0,1.0,317.0,95.0,1950.0,Banyule
2,u,870000.0,2.5,2.0,2.0,1.0,0.0,86.0,2013.0,Yarra
3,t,815000.0,5.9,3.0,1.0,2.0,157.0,123.0,1999.0,Moreland
3,u,560000.0,12.8,3.0,1.0,2.0,352.0,102.0,2000.0,Moonee Valley
2,u,665000.0,2.8,2.0,1.0,1.0,0.0,80.0,2004.0,Melbourne
2,u,512000.0,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin
3,h,386000.0,14.0,3.0,1.0,1.0,341.0,71.0,1965.0,Hume
